‽Malcolm X‽,‽58‽,‽1431‽,‽47‽
‽Bram Stoker's Dracula‽,‽69‽,‽1428‽,‽46‽
‽The Thing Called Love‽,‽30‽,‽621‽,‽8‽
‽Thirty Two Short Films About Glenn Gould‽,‽50‽,‽994‽,‽11‽
‽Sankofa‽,‽21‽,‽579‽,‽28‽
‽Ghost in the Machine‽,‽14‽,‽468‽,‽28‽
‽Batman: Mask of the Phantasm‽,‽12‽,‽437‽,‽18‽
‽Tombstone‽,‽48‽,‽924‽,‽28‽
‽Grumpy Old Men‽,‽37‽,‽662‽,‽16‽
‽The Accompanist‽,‽43‽,‽868‽,‽18‽
‽The Summer House‽,‽35‽,‽666‽,‽18‽
‽Wrestling Ernest Hemingway‽,‽29‽,‽760‽,‽20‽
‽The Pelican Brief‽,‽57‽,‽981‽,‽14‽
‽Beethoven's 2nd‽,‽22‽,‽504‽,‽15‽
‽Wayne's World 2‽,‽35‽,‽822‽,‽14‽
‽Sister Act 2: Back in the Habit‽,‽30‽,‽619‽,‽22‽
‽The Hawk‽,‽22‽,‽394‽,‽29‽
‽Geronimo: An American Legend‽,‽39‽,‽705‽,‽32‽
‽Bank Robber‽,‽16‽,‽515‽,‽24‽
‽Six Degrees of Separation‽,‽46‽,‽834‽,‽27‽
‽A Dangerous Woman‽,‽32‽,‽635‽,‽25‽
‽Traps‽,‽11‽,‽477‽,‽23‽
‽The November Men‽,‽17‽,‽513‽,‽24‽
‽Dead Beat‽,‽15‽,‽470‽,‽20‽
‽Heaven's a Drag‽,‽29‽,‽546‽,‽27‽
‽Arizona Dream‽,‽47‽,‽859‽,‽14‽
‽The Madness of King George‽,‽51‽,‽1100‽,‽37‽
‽Street Fighter‽,‽20‽,‽459‽,‽10‽
‽I.Q.‽,‽53‽,‽613‽,‽10‽
‽Little Women‽,‽58‽,‽1154‽,‽25‽
‽Mixed Nuts‽,‽17‽,‽509‽,‽24‽
‽Camilla‽,‽48‽,‽642‽,‽7‽
‽Nell‽,‽61‽,‽778‽,‽13‽
‽Queen Margot‽,‽49‽,‽829‽,‽24‽
‽Drop Zone‽,‽33‽,‽567‽,‽23‽
‽Disclosure‽,‽55‽,‽1059‽,‽23‽
‽The Thief and the Cobbler‽,‽5‽,‽80‽,‽3‽
‽71 Fragments of a Chronology of Chance‽,‽21‽,‽524‽,‽15‽
‽Troublesome Creek: A Midwestern‽,‽13‽,‽597‽,‽14‽
‽Champagne Safari‽,‽16‽,‽496‽,‽18‽
‽The Horseman on the Roof‽,‽47‽,‽774‽,‽39‽
‽Richard III‽,‽5‽,‽159‽,‽6‽
‽Delta of Venus‽,‽19‽,‽350‽,‽10‽
‽Nico Icon‽,‽19‽,‽611‽,‽28‽
‽Four Rooms‽,‽37‽,‽1094‽,‽43‽
‽Waiting to Exhale‽,‽29‽,‽705‽,‽17‽
‽Sudden Death‽,‽16‽,‽457‽,‽17‽
‽Grumpier Old Men‽,‽31‽,‽676‽,‽18‽
‽Dracula: Dead and Loving It‽,‽35‽,‽527‽,‽16‽
‽Cutthroat Island‽,‽45‽,‽980‽,‽34‽
‽Balto‽,‽22‽,‽431‽,‽15‽
‽Tom and Huck‽,‽15‽,‽435‽,‽13‽
‽Jumanji‽,‽39‽,‽648‽,‽26‽
‽Heat‽,‽51‽,‽1085‽,‽34‽
‽Cry, the Beloved Country‽,‽22‽,‽709‽,‽40‽
‽Leaving Las Vegas‽,‽38‽,‽811‽,‽26‽
‽Hard Core Logo‽,‽14‽,‽497‽,‽24‽
‽Cannibal! The Musical‽,‽22‽,‽486‽,‽12‽
‽Talk to Me‽,‽19‽,‽451‽,‽10‽
‽My Mother's Courage‽,‽25‽,‽621‽,‽26‽
‽The Bloody Child‽,‽6‽,‽400‽,‽28‽
‽Sleepover‽,‽9‽,‽405‽,‽17‽
‽Margaret's Museum‽,‽37‽,‽727‽,‽20‽
‽Nightjohn‽,‽7‽,‽346‽,‽12‽
‽The Whole Wide World‽,‽42‽,‽714‽,‽21‽
‽Some Mother's Son‽,‽34‽,‽880‽,‽63‽
‽I'm Not Rappaport‽,‽29‽,‽752‽,‽27‽
‽Hamlet‽,‽2‽,‽22‽,‽0‽
‽The Evening Star‽,‽35‽,‽624‽,‽15‽
‽Michael‽,‽33‽,‽916‽,‽18‽
‽Scream‽,‽19‽,‽674‽,‽40‽
‽One Fine Day‽,‽45‽,‽654‽,‽13‽
‽My Fellow Americans‽,‽28‽,‽712‽,‽23‽
‽Beavis and Butt-Head Do America‽,‽23‽,‽708‽,‽30‽
‽Carla's Song‽,‽19‽,‽601‽,‽29‽
‽The Hanging Garden‽,‽18‽,‽640‽,‽30‽
‽Oscar and Lucinda‽,‽36‽,‽580‽,‽10‽
‽An American Werewolf in Paris‽,‽12‽,‽467‽,‽21‽
‽The Postman‽,‽28‽,‽653‽,‽22‽
‽Mr. Magoo‽,‽26‽,‽540‽,‽20‽
‽Jackie Brown‽,‽34‽,‽791‽,‽17‽
‽The Winter Guest‽,‽23‽,‽699‽,‽27‽
‽Titanic‽,‽95‽,‽1646‽,‽47‽
‽Tomorrow Never Dies‽,‽24‽,‽591‽,‽21‽
‽Will It Snow for Christmas?‽,‽36‽,‽607‽,‽18‽
‽Scream 2‽,‽30‽,‽717‽,‽30‽
‽Hugo Pool‽,‽22‽,‽513‽,‽15‽
‽Home Alone 3‽,‽40‽,‽777‽,‽33‽
‽Amistad‽,‽51‽,‽960‽,‽36‽
‽Mysteries of Egypt‽,‽18‽,‽351‽,‽3‽
‽Scrapple‽,‽20‽,‽564‽,‽11‽
‽The Well‽,‽28‽,‽584‽,‽19‽
‽All I Wanna Do‽,‽29‽,‽716‽,‽17‽
‽Secret Defense‽,‽7‽,‽473‽,‽30‽
‽The Day of the Beast‽,‽21‽,‽513‽,‽16‽
‽Frogs for Snakes‽,‽17‽,‽437‽,‽11‽
‽Testamento‽,‽23‽,‽622‽,‽12‽
‽Blood, Guts, Bullets and Octane‽,‽4‽,‽425‽,‽13‽
‽Six-String Samurai‽,‽15‽,‽449‽,‽21‽
‽Mary Jane's Not a Virgin Anymore‽,‽14‽,‽426‽,‽19‽
‽Port Djema‽,‽15‽,‽400‽,‽9‽
‽Down in the Delta‽,‽43‽,‽680‽,‽12‽
‽The Faculty‽,‽14‽,‽584‽,‽21‽
‽Mighty Joe Young‽,‽19‽,‽607‽,‽13‽
‽Hurlyburly‽,‽49‽,‽978‽,‽36‽
‽Zombie! vs. Mardi Gras‽,‽5‽,‽205‽,‽10‽
‽Galapagos‽,‽13‽,‽490‽,‽7‽
‽Pariah‽,‽25‽,‽717‽,‽48‽
‽The Talented Mr. Ripley‽,‽54‽,‽988‽,‽27‽
‽Galaxy Quest‽,‽28‽,‽641‽,‽15‽
‽Any Given Sunday‽,‽34‽,‽1041‽,‽48‽
